Location,Date,Hum,Raf,Tmx,Tav,Tmi
108,2012.3.26,38.3,,8.7,3.9,-0.2
108,2012.3.27,57.6,,10.9,6.4,1
108,2012.3.28,56.4,,15.8,10.1,6.4
108,2012.3.29,57,0,16.2,11.6,5.9
108,2012.3.30,73.5,0.1,11.9,9,5.8
108,2012.3.31,38.4,0,10.1,5.4,2.5
108,2012.4.1,28.1,,9.4,4.6,0.6
108,2012.4.2,56.9,22,14.1,8.3,3.5
108,2012.4.3,66.9,35,9.4,4.9,1.1
108,2012.4.4,57.3,,12.8,7.2,2.2
108,2012.4.5,43.4,,12.2,6.7,3.1
108,2012.4.6,41.5,,9.6,5.4,2.6
108,2012.4.7,35.5,,12.4,5.9,0.6
108,2012.4.8,47.3,,17.6,11.3,4.6
108,2012.4.9,55.8,,22.4,15.4,10.7
108,2012.4.10,82.8,10.5,16.9,13.7,11.5
108,2012.4.11,72.5,3,17.4,12.2,9.1
108,2012.4.12,49.5,,12.4,8.9,5.3
108,2012.4.13,52.8,,15.1,10.3,7.4
108,2012.4.14,68,,16.4,10.5,5.9
108,2012.4.15,56,,21.7,13.4,6.9
108,2012.4.16,58,,17.9,11.9,7.2
108,2012.4.17,38.1,,19.7,13.6,7.5
108,2012.4.18,32.3,,21.3,15.2,9.2
108,2012.4.19,34.1,,24.3,17,12.2
108,2012.4.20,38.9,,23.8,18.4,13.6
108,2012.4.21,72.6,47.5,16.3,11.4,9.5
108,2012.4.22,91.4,9,12,9.4,7.9
108,2012.4.23,82.1,0,17.3,12.9,9.1
108,2012.4.24,60.3,,26.6,19.7,12.2
108,2012.4.25,72.8,28,20.7,15.1,10.5
108,2012.4.26,53.4,2,16.8,11.9,8
108,2012.4.27,32,,22.3,15.2,7.8
108,2012.4.28,42.4,,22.1,17,13.8
108,2012.4.29,57.1,,26.3,19.9,14
108,2012.4.30,43.3,,29.4,22.9,15.4
108,2012.5.1,46.1,,28.3,22.6,17.3
108,2012.5.2,47.3,0.4,29.1,23.1,19
108,2012.5.3,53.8,0.2,25.4,20,17
108,2012.5.4,48.8,,25.7,19.7,14.3
108,2012.5.5,42.4,,24.9,18.8,13.5
108,2012.5.6,31.9,,24.1,18.1,13.1
108,2012.5.7,33.3,,24.9,18.5,12.2
108,2012.5.8,27.5,,28,20.8,14.2
108,2012.5.9,45.4,,27.4,20.7,15
108,2012.5.10,45.1,,26.6,20.1,15.5
108,2012.5.11,55.4,,19.2,16.2,13.2
108,2012.5.12,57.9,,21.1,17.1,14.4
108,2012.5.13,53,,25.2,19.1,14.8
108,2012.5.14,78.8,6.5,17.2,16.1,15.1
108,2012.5.15,65.3,0,22.7,16.9,13
108,2012.5.16,58.6,0,22,16.6,12.7
108,2012.5.17,56.6,0.5,20.5,16.6,13.9
108,2012.5.18,51.4,,24.5,18.1,12
108,2012.5.19,38,,25.8,19.5,13.1
108,2012.5.20,39.1,,28.7,21.3,14.5
108,2012.5.21,34.8,,28.9,23,17.2
108,2012.5.22,34.6,,29.3,23.3,17.8
108,2012.5.23,39.5,,27.8,22.1,18.3
108,2012.5.24,53,,24,19.7,17
108,2012.5.25,45.4,,26.6,20.5,16.2
108,2012.5.26,44.8,,26.1,19.8,14.1
108,2012.5.27,65.6,0.3,23.4,19.3,17.1
108,2012.5.28,58,0.1,26,20.9,16.4
108,2012.5.29,40.8,,25.4,21.6,18.8
108,2012.5.30,44.4,0,23.6,20.7,18.6
108,2012.5.31,58.6,0.2,27.2,20.9,16.6
108,2012.6.1,52.3,,26.7,21.4,16.3
108,2012.6.2,44.8,,28.8,23.1,19.2
108,2012.6.3,38.9,,29.1,23.3,18
108,2012.6.4,35.1,,29.1,23.7,18.6
108,2012.6.5,62.6,0,27.5,22.5,19.8
108,2012.6.6,62,,28.9,23,19.1
108,2012.6.7,62.8,,29.4,23,18.5
108,2012.6.8,66.4,2,27.9,22.2,19
108,2012.6.9,59.5,,29.9,24.2,18.6
108,2012.6.10,58.8,,28.7,23.7,20.8
108,2012.6.11,59.4,,27.8,23.2,20.3
108,2012.6.12,58.9,0.4,28.9,22.6,19
108,2012.6.13,53.1,,28.9,23.4,18.3
108,2012.6.14,49.1,,31.7,24.8,19.3
108,2012.6.15,52.8,,28,23.7,20.4
108,2012.6.16,61.3,,29.9,23.5,20.2
108,2012.6.17,52.5,,29.8,23.6,18.1
108,2012.6.18,46.5,,30.2,24.9,20.1
108,2012.6.19,44.8,,33.5,26,20.9
108,2012.6.20,49.1,,31.3,25.4,21.3
108,2012.6.21,55.3,,32.4,25.7,21.3
108,2012.6.22,61.4,0,29.3,24.3,21.3
108,2012.6.23,55.8,,31.7,26.2,21.5
108,2012.6.24,48.3,,32.8,27.8,23.6
108,2012.6.25,40.5,,33.2,26.5,22.2
108,2012.6.26,44.9,,30.8,24.6,20.6
108,2012.6.27,47.1,,31,24.8,19.3
108,2012.6.28,50.4,,29.6,25.3,20.9
108,2012.6.29,60.4,20,31,25.9,22
108,2012.6.30,87.8,69.5,23.7,21.9,20.2
108,2012.7.1,80.1,0,25.4,21.6,19.2
108,2012.7.2,62.8,,29.8,24,21.7
108,2012.7.3,78.1,25,25.7,22.7,19.7
108,2012.7.4,79.8,0.3,27.4,24.4,22.6
108,2012.7.5,89.6,72,24.6,22.7,20.9
108,2012.7.6,88.8,102.5,21.8,20.9,19.9
108,2012.7.7,62.1,,31,24.8,18.5
108,2012.7.8,64.5,,30.7,25.8,21.4
108,2012.7.9,64.1,,32.3,26.3,21.9
108,2012.7.10,67.4,6.5,29.1,25.9,21.7
108,2012.7.11,83.5,8,26.5,23.3,21
108,2012.7.12,72.3,0,28.5,24.7,21.1
108,2012.7.13,76.1,76.5,29.3,26.1,21.8
108,2012.7.14,82.1,8,26.2,22.8,20.4
108,2012.7.15,89.5,32.5,20.5,19.7,19.1
108,2012.7.16,80.3,2.5,25,21.7,19
108,2012.7.17,70.5,0,29,25.5,21.6
108,2012.7.18,78.8,6,28.4,26.3,24.7
108,2012.7.19,85.3,72.5,26.5,23.9,22.4
108,2012.7.20,73.6,1,29.7,25.6,22.1
108,2012.7.21,67.4,,31.4,27.5,24.1
108,2012.7.22,74.4,16.5,30.4,27.2,23.7
108,2012.7.23,73.9,1,30.5,27.6,25.6
108,2012.7.24,71.9,,32.1,27.8,25.5
108,2012.7.25,68,,32.1,27.9,24.2
108,2012.7.26,63.4,,32.6,28.1,24.3
108,2012.7.27,68,,32.3,27.9,24.9
108,2012.7.28,67.3,,33.2,28.5,25.2
108,2012.7.29,66.8,0,33.2,29.2,26.2
108,2012.7.30,72.3,18,31.6,28.4,23
108,2012.7.31,66.1,0.1,33,29,26.6
108,2012.8.1,56.8,,35.3,30.8,25.9
108,2012.8.2,53.6,,35.5,30.8,26.8
108,2012.8.3,51.9,,35.4,31.3,27.1
108,2012.8.4,50.1,,36.2,31.7,28.2
108,2012.8.5,51,,36.7,31.8,27.5
108,2012.8.6,54.1,,35.8,31.5,27.8
108,2012.8.7,48,,35,30.7,26.6
108,2012.8.8,51.6,,34.3,29.6,25.6
108,2012.8.9,63.5,,34.6,29.7,26.6
108,2012.8.10,69.4,0.3,29,27.4,25.7
108,2012.8.11,65,,31.8,27.7,24
108,2012.8.12,80.3,17,27.9,25.5,22.3
108,2012.8.13,65,2,32.1,26.6,22.1
108,2012.8.14,64.3,15.5,31.2,26.7,23.2
108,2012.8.15,88,136.5,27.1,23.7,22.4
108,2012.8.16,68.8,,28.9,26,22.7
108,2012.8.17,74,0,32.2,27.5,24.3
108,2012.8.18,80.3,2,28.6,27.2,25.8
108,2012.8.19,75.8,5,30.8,27.9,26.3
108,2012.8.20,87.4,59.5,27.1,25.4,24
108,2012.8.21,85.4,137,28.7,25.3,23.5
108,2012.8.22,80.5,17,24.6,22,20.3
108,2012.8.23,68.3,0.1,25.7,23,20.5
108,2012.8.24,70,7.5,26.1,23.3,21.1
108,2012.8.25,80.1,11.5,28.9,25,21.5
108,2012.8.26,72.3,0,32.4,27.5,24.1
108,2012.8.27,59.9,,32.9,28.5,24.5
108,2012.8.28,69.5,13.5,29.4,26.1,21.8
108,2012.8.29,70.3,6,29.1,25.7,21.7
108,2012.8.30,85.8,34.5,24.7,21.4,18.7
108,2012.8.31,65.6,,28.4,23.8,18.7
108,2012.9.1,69,,29.4,25.2,22.3
108,2012.9.2,65.1,,29.5,25,20.8
108,2012.9.3,71.4,,28.5,24.9,22.2
108,2012.9.4,84.1,55.5,24.4,22,19.7
108,2012.9.5,61.1,10.5,26.1,22.3,19.2
108,2012.9.6,52.9,,27.1,21.6,16
108,2012.9.7,60.6,3,27.2,22.5,16.9
108,2012.9.8,71.8,25,23.7,20.2,17.7
108,2012.9.9,68.4,,25,20.9,17.1
108,2012.9.10,61.4,,28.3,23.2,17.8
108,2012.9.11,53.1,,27.5,22.8,18.1
108,2012.9.12,68.9,0.5,24.8,21.6,19.6
108,2012.9.13,87.1,13.5,21.1,20,18.6
108,2012.9.14,68.5,2,21.8,19.4,17.3
108,2012.9.15,56.8,,25.5,21,17
108,2012.9.16,60.1,2.5,22.1,19.9,17.5
108,2012.9.17,86.8,85.5,18.4,17.3,16
108,2012.9.18,69.4,,24.6,20.9,17.7
108,2012.9.19,63.9,,25.2,20.6,17.7
108,2012.9.20,69.6,0,24.7,20.1,15.6
108,2012.9.21,68.3,,24.3,20.1,17.2
108,2012.9.22,60.6,,26.4,20.7,15.2
108,2012.9.23,56.6,,26.6,21.2,16.4
108,2012.9.24,49.8,,27.5,21.5,16.1
108,2012.9.25,52.3,,27.8,21.8,16.9
108,2012.9.26,60,,25.4,21.3,17.5
108,2012.9.27,62,,23.6,20.3,17.7
108,2012.9.28,72.3,13.5,22,18,15.4
108,2012.9.29,58.8,0.5,19.8,16.4,14
108,2012.9.30,63.8,,21,16.2,12
108,2012.10.1,64.3,,24.6,18.1,12.5
108,2012.10.2,64.3,,24.9,19.3,14.3
108,2012.10.3,60.4,,26,19.9,15
108,2012.10.4,61.6,,24.2,19,14.4
108,2012.10.5,61.4,,22.8,19,14.9
108,2012.10.6,52.9,,24.5,19.6,16.1
108,2012.10.7,54.9,,24.4,19.2,15.1
108,2012.10.8,53,,23.4,18.4,14.6
108,2012.10.9,60,,22.4,17.6,13.8
108,2012.10.10,69.6,13,20.3,15.7,12.6
108,2012.10.11,47.4,,19,13.9,9.9
108,2012.10.12,51.8,,21.4,14.9,8.5
108,2012.10.13,54,,23.1,16.4,11.3
108,2012.10.14,39.9,,21.8,16.3,12
108,2012.10.15,33.3,,21.8,14.8,10.3
108,2012.10.16,46.5,,23.4,17.1,10.8
108,2012.10.17,57,2.5,17.6,12.6,8.1
108,2012.10.18,46.5,,17,11.6,6
108,2012.10.19,52.3,,20.1,14.8,10.3
108,2012.10.20,65,,21,15.8,10.5
108,2012.10.21,70.5,,23.7,18.3,15.4
108,2012.10.22,77.3,39.5,17.1,13.4,8.5
108,2012.10.23,49.4,0,14.5,10,4.5
108,2012.10.24,62.8,,18.4,13.2,9.5
108,2012.10.25,68.5,,20,15.2,12.6
108,2012.10.26,62.1,,22.3,15.9,11.1
108,2012.10.27,84.5,44,16.4,14.3,12.5
108,2012.10.28,65.4,0,18.8,14.3,10.8
108,2012.10.29,60.6,0,16.7,11.7,8
108,2012.10.30,55.4,0.1,12.4,8.6,5.8
108,2012.10.31,50.9,0.2,11.6,6.9,2.8
108,2012.11.1,36.5,,10,5.6,2.7
108,2012.11.2,36.9,,12.4,7.2,1.6
108,2012.11.3,41.5,,15.7,9.4,3.2
108,2012.11.4,56.5,4,15.3,11.8,9.1
108,2012.11.5,87.6,8,10.7,8.5,7.2
108,2012.11.6,81,5,8.6,7.1,5.1
108,2012.11.7,68.4,,12.5,8.4,4.1
108,2012.11.8,74.6,,12.6,8.8,6
108,2012.11.9,63.6,,15,9.4,4.4
108,2012.11.10,49.3,,14.7,12,9.2
108,2012.11.11,72,28,12,8.7,3.6
108,2012.11.12,67.8,3,9.1,7.3,5.8
108,2012.11.13,54.8,0,9.1,5.3,1.7
108,2012.11.14,53.3,0,6.7,2.4,-0.6
108,2012.11.15,51.5,,9.8,4.2,-0.3
108,2012.11.16,74,9.5,8.2,4.9,1
108,2012.11.17,61.6,1.5,8,5.3,1.5
108,2012.11.18,45.1,,8.4,3.5,-0.5
108,2012.11.19,64.4,5.5,7.6,3.4,-0.5
108,2012.11.20,51.6,,6.4,1.9,-1.8
108,2012.11.21,62.5,,8.4,4.1,-0.4
108,2012.11.22,68.3,0.3,10.5,6.7,1.9
108,2012.11.23,63,,6.9,3.3,0.3
108,2012.11.24,46.9,,6.7,1.7,-1.8
108,2012.11.25,55.6,0.5,7.5,3.4,-0.7
108,2012.11.26,51.5,1,5.1,2.3,-1.2
108,2012.11.27,38.9,,6.5,2.1,-2.8
108,2012.11.28,54.5,1,10.2,5,-0.1
108,2012.11.29,34.4,,4.7,0.8,-1.9
108,2012.11.30,49.6,0.5,6.2,1.7,-3
108,2012.12.1,47.9,,4,-0.9,-5.9
108,2012.12.2,50.4,,7.1,2.9,1
108,2012.12.3,66.9,5.4,5,1.7,-1.6
108,2012.12.4,41.3,,-0.1,-3.3,-5.9
108,2012.12.5,66.5,5.8,-0.8,-3.8,-6.2
108,2012.12.6,53.4,0.1,-2.9,-6.3,-10.3
108,2012.12.7,76,1.9,-2.4,-4.5,-6.4
108,2012.12.8,42.4,,-5.3,-8.2,-11
108,2012.12.9,45.5,,-7,-10.5,-13.2
108,2012.12.10,51.3,,-4.6,-8.3,-11.8
108,2012.12.11,55.3,,-0.8,-6.5,-10.4
108,2012.12.12,56.8,,0,-5,-9
108,2012.12.13,55.1,,3.4,-1.5,-6.2
108,2012.12.14,79.8,18.5,4.7,2.7,0.3
108,2012.12.15,78.4,0.5,8.3,4.6,1.9
108,2012.12.16,77,,4.3,1.6,-1.2
108,2012.12.17,65.4,,3.2,-0.4,-4.7
108,2012.12.18,49.4,,-4,-6.8,-9.2
108,2012.12.19,45,,-2.8,-6.9,-10.4
108,2012.12.20,49.1,,0.3,-3.4,-7.8
108,2012.12.21,66.1,1.8,0.8,-0.7,-1.9
108,2012.12.22,67.4,,-0.8,-3,-5.9
108,2012.12.23,53.9,0,-5.9,-8.9,-12.5
108,2012.12.24,52,0,-4.5,-8.8,-13.6
108,2012.12.25,50.9,1,-4.6,-8.9,-13.7
108,2012.12.26,33.5,,-7,-10.8,-14.5
108,2012.12.27,47.1,,-0.8,-5.7,-11.3
108,2012.12.28,59.5,0,1.5,-0.9,-3.5
108,2012.12.29,84.1,4.1,0.6,-0.3,-1.9
108,2012.12.30,54.6,2.3,0,-8.2,-10.7
108,2012.12.31,45.9,,-5,-8.7,-11.6
108,2013.1.1,73.5,3.1,0,-4.7,-8.7
108,2013.1.2,40.8,,-4.8,-11.7,-15.1
108,2013.1.3,42.8,,-9.3,-13.2,-16.4
108,2013.1.4,44.3,,-5.8,-10.7,-14.8
108,2013.1.5,59.4,,-1.2,-7,-12.1
108,2013.1.6,59.4,,-2,-6.3,-9.4
108,2013.1.7,53.6,,0.1,-5.1,-8.8
108,2013.1.8,53.4,,-0.7,-4.6,-6.8
108,2013.1.9,38.5,,-6.4,-9,-10.7
108,2013.1.10,41.3,,-3.6,-8.3,-12.3
108,2013.1.11,50.5,0,1.4,-3.2,-7.9
108,2013.1.12,70,0.1,4.2,0,-2.7
108,2013.1.13,65.6,,3.3,-0.5,-3
108,2013.1.14,61.6,,1.8,-2.1,-4.3
108,2013.1.15,57,,2,-2.1,-5.5
108,2013.1.16,64.1,0.3,0.4,-2.6,-5.8
108,2013.1.17,62.9,,-2.5,-5.8,-8.2
108,2013.1.18,51.9,,0.2,-4.4,-9.2
108,2013.1.19,59.9,,4.6,0.5,-2.5
108,2013.1.20,55.8,,4.1,1.6,-2
108,2013.1.21,83.6,16.5,4,2.2,1.1
108,2013.1.22,74.3,0.5,6,3.8,2
108,2013.1.23,80.4,1.5,3.8,1.8,1
108,2013.1.24,57.6,0.1,2.4,-0.9,-6.7
108,2013.1.25,37.5,,-6.5,-9.1,-10.8
108,2013.1.26,37,,-5.1,-9.2,-11.9
108,2013.1.27,44.9,,-3.9,-7.3,-10.7
108,2013.1.28,56,,0.2,-3.5,-8.9
108,2013.1.29,63.5,0,3.7,2.2,-0.3
108,2013.1.30,68.8,,8.5,5.4,3.5
108,2013.1.31,59.5,0,11.5,7.4,3.7
108,2013.2.1,85.8,46.5,9.3,7.3,3.7
108,2013.2.2,52.1,,3.7,-1.1,-4.5
108,2013.2.3,62.3,7.5,-1.1,-3.2,-5.8
108,2013.2.4,77.1,7.4,2.5,-0.8,-3.3
108,2013.2.5,77,4.5,2.7,-0.6,-4
108,2013.2.6,75,2.1,0.2,-1.5,-3.1
108,2013.2.7,42.5,0,-2.6,-11.1,-13.8
108,2013.2.8,39.3,,-6.1,-11.5,-15.8
108,2013.2.9,55.5,,-2.6,-7.2,-12.3
108,2013.2.10,56.6,1.2,-0.5,-4,-8.4
108,2013.2.11,41.8,,-0.9,-5.8,-10.4
108,2013.2.12,55.6,0,-1.9,-3.8,-4.8
108,2013.2.13,59.6,,2.9,-1.3,-6.3
108,2013.2.14,60.1,,5.2,1.1,-2.6
108,2013.2.15,48.4,,1.5,-1.2,-5.2
108,2013.2.16,38.8,,2.6,-2.6,-7
108,2013.2.17,44.5,0,5.8,2.3,-2.1
108,2013.2.18,49.8,,3.1,0.5,-2.5
108,2013.2.19,27.5,,0.6,-2.9,-7.1
108,2013.2.20,35.3,,0,-4.8,-8.7
108,2013.2.21,49,0,2.5,-1.7,-5.3
108,2013.2.22,57.1,3.9,4.3,0.5,-3.1
108,2013.2.23,45.9,,2.4,-0.9,-4.4
108,2013.2.24,42.4,,5.3,1.4,-2.4
108,2013.2.25,39.4,,8.6,3.3,-0.7
108,2013.2.26,56.4,0,7.5,4.8,2.5
108,2013.2.27,69.5,,8.8,3.4,0.8
108,2013.2.28,57.3,1,13.9,6.7,-1.1
108,2013.3.1,56.1,3,7.7,0.8,-2.4
108,2013.3.2,42.6,,3.1,-0.8,-4.4
108,2013.3.3,50.3,,4.8,0.4,-3.5
108,2013.3.4,58.6,,8.9,3.1,-0.7
108,2013.3.5,51.8,,9.1,3.7,-0.7
108,2013.3.6,43.1,,14.3,7.9,0.9
108,2013.3.7,74.1,0.5,11.7,8,4.3
108,2013.3.8,66,,14.1,8.5,3.8
108,2013.3.9,48.8,,23.8,13.2,6.2
108,2013.3.10,32.5,,7.9,1.2,-1.5
108,2013.3.11,33.4,,12.1,4.2,-2.6
108,2013.3.12,60.4,3.5,11.7,7.5,1.6
108,2013.3.13,64.5,11.5,8.4,5.2,1.8
108,2013.3.14,48.9,,9.8,4.1,0.9
108,2013.3.15,43.4,,10.5,4.6,0
108,2013.3.16,53.6,,12.7,6.3,1.6
108,2013.3.17,57.5,7.5,15.9,8.2,3.4
108,2013.3.18,73,1,14.2,8.3,5.3
108,2013.3.19,61.1,,11.4,8,5.2
108,2013.3.20,51.9,0.1,8.5,2.8,-2.5
108,2013.3.21,34.3,,7.2,1.5,-4
108,2013.3.22,61.6,,6.9,3.4,0.9
108,2013.3.23,39,,12.1,5.4,-1.2
108,2013.3.24,47.4,,10.2,5.1,1.8
108,2013.3.25,40.3,,7.8,2.8,-0.7
108,2013.3.26,39.9,,10.4,4.4,-0.9
108,2013.3.27,30.1,,14.9,7.5,1.4
108,2013.3.28,42.1,,12,7.3,4.4
108,2013.3.29,28.6,,10.4,5.4,0.6
108,2013.3.30,43.1,0.2,10.2,4.9,2.3
108,2013.3.31,46.4,,13.2,6.3,1
108,2013.4.1,44.5,0.5,13.4,9.2,3.3
108,2013.4.2,86.1,8.5,9.5,7.2,5.8
108,2013.4.3,64,,14.1,7.9,3.9
108,2013.4.4,44.5,,19.8,12.6,5.6
108,2013.4.5,42.1,,19.9,14.6,10.1
108,2013.4.6,84.4,14,13,7.5,2.5
108,2013.4.7,57.3,1,9.6,5.1,2
108,2013.4.8,55.1,1,13.8,8,2.5
108,2013.4.9,50.8,0.5,10.7,6.2,3.2
108,2013.4.10,49.3,1.5,8.1,5,1.3
108,2013.4.11,54.5,0.5,9.6,5.5,3.7
108,2013.4.12,42.6,,11.9,6.9,2.2
108,2013.4.13,38.6,,17.5,11.4,3.4
108,2013.4.14,40.4,3.5,12.2,8.3,4.2
108,2013.4.15,31.5,,12.5,7.5,2.6
108,2013.4.16,54.5,,19.1,13.2,8.6
108,2013.4.17,62.3,,20.6,14.8,10.3
108,2013.4.18,37.4,,16.3,12.3,9
108,2013.4.19,27,,15,9.8,5.1
108,2013.4.20,70.8,9.5,10.1,6.6,4
108,2013.4.21,58.8,,15.3,9,4.2
108,2013.4.22,43.8,,17.2,11.4,5.6
108,2013.4.23,59.3,5.5,14.8,11.2,9.7
108,2013.4.24,67,0.1,18,12.3,8.3
108,2013.4.25,78.9,4.5,13.8,9.3,7.9
108,2013.4.26,55,0.1,16.3,11.7,6.9
108,2013.4.27,51.4,,18.5,12.8,8.2
108,2013.4.28,51,,21.6,16,10.3
108,2013.4.29,67.6,21,17.7,13.5,9
108,2013.4.30,48.8,,19.5,13.4,7.7
108,2013.5.1,52.4,1,18.6,13.2,8.7
108,2013.5.2,67.1,1,17.1,12.4,9
108,2013.5.3,64.8,0,18.2,12.6,9
108,2013.5.4,58.1,,19.6,13.9,9.3
108,2013.5.5,51.8,,20.6,14.3,9.2
108,2013.5.6,54,,21.3,14.6,7.9
108,2013.5.7,41.4,,26.7,18.7,11.9
108,2013.5.8,33.6,,26.2,19.4,12.7
108,2013.5.9,55.3,2.5,23,18.1,14.7
108,2013.5.10,89.3,22,16.1,14,10.4
108,2013.5.11,55.5,,24.8,17.9,11
108,2013.5.12,61.3,1,22.5,19.1,16.4
108,2013.5.13,45,,26.8,21.6,17.7
108,2013.5.14,46.9,,25.3,20.2,17
108,2013.5.15,57,,24.4,19.4,15.6
108,2013.5.16,33.3,,28.3,22,15.3
108,2013.5.17,36.6,,26.6,20.2,15.7
108,2013.5.18,62.8,14.5,22.3,17.7,13.7
108,2013.5.19,80.9,19.5,21.5,16.6,13.6
108,2013.5.20,76,,18.5,14.4,12.1
108,2013.5.21,43.3,,24.6,17.7,10.2
108,2013.5.22,49.4,,25.9,19.7,13.9
108,2013.5.23,59.3,,30.2,22.1,15.4
108,2013.5.24,58.9,,27.5,21.3,15.7
108,2013.5.25,49.6,,31.8,24.7,18.2
108,2013.5.26,45.9,,28.4,23.9,20.8
108,2013.5.27,80.4,56.5,22.6,19.7,17.7
108,2013.5.28,89.1,11.5,20.9,18.9,17.6
108,2013.5.29,87.8,2.5,18.1,16.1,14.9
108,2013.5.30,57.9,,25,19.2,14.3
108,2013.5.31,46.6,,27.8,21.3,13.9
108,2013.6.1,44.3,,27.9,21.7,17.4
108,2013.6.2,48.6,,30.8,23.5,16.3
108,2013.6.3,59,,26.7,21.3,18.4
108,2013.6.4,54.3,0.2,28.4,22.8,17.5
108,2013.6.5,51.8,,30.4,24.8,19.1
108,2013.6.6,55.9,,30,25,21.7
108,2013.6.7,50.9,,31.1,25.7,20.7
108,2013.6.8,48.5,,31.2,26.4,21
108,2013.6.9,38.3,,32.4,27.4,22.3
108,2013.6.10,35.5,,32.2,27.5,21.6
